p1_solver,opponent_zero_oracle,opponent_value_oracle,opponent_full_solver
zero_oracle,0.5712601168980779,0.3664376830243721,0.35104081570343404
value_oracle,0.5797578475814865,0.4176739701085395,0.41633471897117996
full_solver,0.5876411616903132,0.4366464996131122,0.4358386369941169
