model,width,player,best_epoch,validation_rmse,test_rmse,active_rmse,inactive_rmse,negative_fraction
checkpoint,64,1,0,,0.19130625,0.24814214,0.08671104,0.0848982785602504
plain_mse,64,1,141,0.213703606810476,0.19907679,0.25490752,0.100606754,0.048513302034428794
softplus_mse,64,1,83,0.2146087141134434,0.20205273,0.26302722,0.08836859,0.0
softplus_huber,64,1,127,0.2141353632834756,0.20050374,0.26221502,0.08340328,0.0
log_huber,64,1,211,0.2260957052677499,0.21017309,0.28605556,0.018225297,0.0
checkpoint,64,2,0,,0.17331167,0.22499771,0.07765535,0.060641627543035995
plain_mse,64,2,100,0.1297982951934145,0.1833194,0.23775816,0.08291883,0.051643192488262914
softplus_mse,64,2,125,0.13128061959184087,0.18419358,0.24092287,0.07619003,0.0
softplus_huber,64,2,105,0.13112363891740647,0.18505755,0.24268755,0.074167326,0.0
log_huber,64,2,178,0.13533684016054803,0.19690831,0.26704097,0.028814519,0.0
