width,player,split,gate_epoch,magnitude_epoch,rmse,active_rmse,inactive_rmse,gate_brier,gate_precision,gate_recall
128,1,validation,300,180,0.21855715,0.30283317,0.03812172,0.19683166,0.6986201888162672,0.7249434815373021
128,1,test,300,180,0.20003176,0.26843897,0.05197782,0.20768434,0.692088382038489,0.7061818181818181
128,2,validation,278,292,0.12637833,0.16701528,0.05336545,0.19370323,0.7194744976816074,0.6870848708487085
128,2,test,278,292,0.17720917,0.23503786,0.060029723,0.18033195,0.7563091482649842,0.6969476744186046
