style,trial,seed,iterations,max_depth,br_depth,epsilon,backup,n_states,n_expanded,root_visits,search_value,policy_value,p1_value_vs_p2_br,p2_value_vs_p1_br,exploitability_gap,root_regret_l2,root_strategy_entropy,elapsed_seconds
smoos,1,20001,1000,5,5,0.3,sample,1809,969,1000,-0.01384915108176884,-0.01384915108176884,-0.3579183104301411,-0.0,0.3579183104301411,0.9162050899994586,0.3150061252197991,0.002833666
smoos,2,20002,1000,5,5,0.3,sample,1949,1030,1000,-0.005638030861918143,-0.005638030861918143,-0.07700273819900912,-0.0,0.07700273819900912,1.164316952065055,0.3120685964501875,0.002846125
smoos,3,20003,1000,5,5,0.3,sample,1974,1047,1000,-0.008999687840949226,-0.008999687840949226,-0.08729777131896119,-0.0,0.08729777131896119,1.2973498059255844,0.33769476447985625,0.019563625
smoos,4,20004,1000,5,5,0.3,sample,1980,1051,1000,-0.0069242620536716214,-0.0069242620536716214,-0.06331473554266986,-0.0,0.06331473554266986,2.0947434218306755,0.3844868619784886,0.002976208
smoos,5,20005,1000,5,5,0.3,sample,1979,1042,1000,-0.006407362325117853,-0.006407362325117853,-0.05300656708406029,-0.0,0.05300656708406029,1.8630189156182564,0.4283762448930156,0.002973166
smoos,6,20006,1000,5,5,0.3,sample,1929,1014,1000,-0.009892653758699115,-0.009892653758699115,-0.08594974464903003,-0.0,0.08594974464903003,2.773693276703377,0.27521554372644186,0.002987334
smoos,7,20007,1000,5,5,0.3,sample,2117,1153,1000,-0.02245813866863427,-0.02245813866863427,-0.09479346929414406,-0.0,0.09479346929414406,1.1750042972995645,0.3699433596720938,0.015709709
smoos,8,20008,1000,5,5,0.3,sample,1974,1087,1000,-0.010512595615899421,-0.010512595615899421,-0.32579037263102767,-0.0,0.32579037263102767,0.629457804157225,0.5488353325751714,0.002934333
smoos,9,20009,1000,5,5,0.3,sample,1995,1061,1000,-0.007838783341573632,-0.007838783341573632,-0.05714770704698122,-0.0,0.05714770704698122,1.8004152196838894,0.385279934159237,0.002955791
smoos,10,20010,1000,5,5,0.3,sample,1866,967,1000,-0.0038538254741979057,-0.0038538254741979057,-0.07170020084556222,-0.0,0.07170020084556222,1.1915247170600225,0.2017446306250127,0.002881375
smoos,11,20011,1000,5,5,0.3,sample,2028,1092,1000,-0.006141531148130272,-0.006141531148130272,-0.15635093618352844,-0.0,0.15635093618352844,1.7724671411417612,0.25823335694792504,0.002896584
smoos,12,20012,1000,5,5,0.3,sample,2051,1099,1000,-0.0096925390733087,-0.0096925390733087,-0.04271205237824676,-0.0,0.04271205237824676,1.3879015804020796,0.3908772384349851,0.002911458
smoos,13,20013,1000,5,5,0.3,sample,1986,1055,1000,-0.00387088638360008,-0.00387088638360008,-0.040567775798472386,-0.0,0.040567775798472386,1.8873647973705103,0.3510498119581004,0.0029465
smoos,14,20014,1000,5,5,0.3,sample,1895,999,1000,-0.009135499101491975,-0.009135499101491975,-0.1832840223307097,-0.0,0.1832840223307097,1.1915247170600225,0.10873993310110439,0.002901334
smoos,15,20015,1000,5,5,0.3,sample,1922,1014,1000,-0.015222879660434285,-0.015222879660434285,-0.1187748515416757,-0.0,0.1187748515416757,1.5335771159360836,0.30553366781017494,0.002929833
smoos,16,20016,1000,5,5,0.3,sample,1896,997,1000,-0.007110171197193621,-0.007110171197193621,-0.05242766369430011,-0.0,0.05242766369430011,1.6632212074626433,0.36676101270995076,0.00293225
smoos,17,20017,1000,5,5,0.3,sample,1838,943,1000,-0.004333979205923168,-0.004333979205923168,-0.08122903942090308,-0.0,0.08122903942090308,1.0668141799209268,0.27500692554062933,0.002864459
smoos,18,20018,1000,5,5,0.3,sample,1860,951,1000,-0.0022348048127082925,-0.0022348048127082925,-0.027029721123478342,-0.0,0.027029721123478342,1.2671609520952578,0.24172254161252316,0.002870541
