solver,oracle_kind,uses_value_oracle,uses_transfer,response_player,fixed_player,seed,model_iter,checkpoint,cleanrl_tree_sha,ppo_name,total_timesteps,num_envs,num_steps,max_steps,gamma,tree_queries,max_depth,epsilon,prior_scale,initial_state,response_reward,response_stderr_reward,p1_reward,p2_reward,attacker_goal_rate,tagged_rate,timeout_rate,mean_steps,model_path
full_solver,learned_value_regret_only,true,true,1,2,20270720,1221,/Users/tyler/code/MatrixAlphaZero/experiments/dubin/dubin-2026-07-20/models_rm_plus_no_transfer_train/oracle1221.jld2,f23b4c0783c380ab8337c244dbb2182e60e63387,response_p1__vs_full_solver_p2,500000,4,128,50,0.99,100,5,0.1,5.0,reference,-0.5556632052494211,0.020245919202300105,-0.5556632052494211,0.5556632052494211,0.02,0.98,0.0,12.43,/Users/tyler/code/MatrixAlphaZero/experiments/dubin/dubin-2026-07-20/ppo_regret_only_response_utility_results/full_solver/p1/ppo_response_actor_critic.jld2
full_solver,learned_value_regret_only,true,true,2,1,20280720,1221,/Users/tyler/code/MatrixAlphaZero/experiments/dubin/dubin-2026-07-20/models_rm_plus_no_transfer_train/oracle1221.jld2,f23b4c0783c380ab8337c244dbb2182e60e63387,response_p2__vs_full_solver_p1,500000,4,128,50,0.99,100,5,0.1,5.0,reference,0.07508375002838295,0.05760784595708124,-0.07508375002838295,0.07508375002838295,0.52,0.48,0.0,13.28,/Users/tyler/code/MatrixAlphaZero/experiments/dubin/dubin-2026-07-20/ppo_regret_only_response_utility_results/full_solver/p2/ppo_response_actor_critic.jld2
