-3.1933252220161137,-4.9160138979958665,-4.183011104625275,-4.253356529244903,-4.198006393814774,-3.950584883172949,-4.481372383639286,-5.340732020574248,-2.8742351522297516,-3.6005672519364884,-5.061776522668938,-3.7406514982678476,-3.7391078887283853,-4.401324280045176,-5.177658878957327,-4.436386626885145,-5.065525310773245,-3.921697034965976,-4.259751521619246,-5.682866067459662
-3.7874203344201423,-5.669497837557934,-4.141729674224243,-5.089300757418344,-5.906083641659882,-3.5961714963094,-4.000651526369586,-6.331608044593666,-4.296515031812077,-3.860887931150881,-5.072575504960906,-4.290259502060182,-5.223939262377327,-4.6050048074707615,-5.471139324831192,-3.1262110567267696,-5.314364301597795,-3.8419944394960615,-3.290514253796247,-5.1098817632505
-4.653377168333084,-4.494138542717865,-3.9837091345702618,-5.087034706374805,-6.775708750582454,-3.985206219965679,-4.093729846522834,-5.916677975916047,-4.882346069685843,-3.7215753636875974,-4.995680842788949,-3.319431761011802,-4.264203531158858,-4.416017831091415,-4.9158620661319326,-4.120395253402989,-6.09878437280135,-4.030259593710681,-3.6262930483832445,-4.618658966886439
-4.456233208853347,-4.7923832891538485,-4.135777824974651,-5.685189225592006,-6.823271757752742,-4.461999518266593,-3.8657082492214556,-6.040860250689565,-4.526929296892226,-4.314928833319737,-5.099718886363263,-4.2681778948287565,-5.3256027919831235,-4.6797757191788945,-4.675628809156736,-3.752766605290503,-5.293901909075769,-3.9889524809938006,-4.383962785661484,-4.784417653113804
-4.195603885896682,-4.607353692020108,-4.33780219941199,-5.613419458705897,-6.144423102827494,-4.807969600543827,-4.302331813161784,-5.24988552986855,-4.589351312548724,-4.637607211571677,-4.983972539450685,-4.334310361994025,-5.106286463029097,-4.932192009794095,-4.667995704195363,-3.5078334298268588,-5.153130236260909,-4.834739784859229,-5.446442052472896,-4.397382595645525
-4.245433721432419,-4.612768663882956,-4.413133062649821,-5.434894405247992,-5.836543691574602,-5.392330288581775,-3.811635057408718,-5.413597568834871,-4.247277803253617,-4.128797113351189,-4.855221896820632,-4.807410615433623,-5.042567317947964,-4.70805479249358,-4.690367869934406,-3.563688214469715,-5.332970003574823,-4.537472453188286,-4.398007444045686,-4.1605949375558335
-4.836349774857919,-4.7139857515980434,-4.778157330496366,-5.044647407551268,-5.889908646675031,-4.782918037259704,-3.5476540266800587,-5.669602051522322,-4.863827405381395,-4.083350081418615,-4.874377482790031,-4.733793192796908,-5.197600827647498,-4.793278328734793,-4.467290863737762,-3.863330128503604,-5.574632203087006,-4.607224938093348,-4.329601247308192,-4.156793574833022
-4.196522164126232,-4.940928948363317,-4.302954877985238,-5.223068300095351,-6.097099443822099,-4.361306536121186,-3.492862147851559,-5.170427774296523,-4.954089015459543,-4.6382016871851715,-4.624944187840289,-4.990842593828292,-5.3491253303645365,-5.180100964214898,-4.523735128093449,-3.7005311664069342,-5.37391822282447,-4.656795315195916,-4.520330951859357,-4.139610434208773
-4.6115782696828465,-4.9876192484544015,-4.3722095556475455,-5.615826518306153,-5.781940351661565,-4.25594720227147,-4.294240422417793,-5.021302237889049,-4.989243570871389,-4.368039745632987,-4.682449070112015,-4.761422577883811,-5.325270840845968,-5.393782096184715,-4.189065309735847,-3.4217109270210857,-5.373453413515131,-4.6644644957785495,-4.569095663338063,-4.407737862533752
-4.410351884459584,-4.811391152799179,-4.298926470476274,-5.27470867269407,-5.241136068914178,-3.953004409853174,-4.615051152216402,-5.117378077304808,-4.989812150043151,-3.928461667320552,-4.827527341091051,-4.697038579734796,-5.104146534751512,-4.98575974667311,-4.220166938163345,-3.4773910778841612,-4.934886811565654,-4.58106547837021,-4.500552860801318,-4.47222800169824
