method,online_updates,prior_mass,trial,seed,p1_value_vs_br_p2,br_p1_value_vs_p2,exploitability,root_p1_action_1,root_p1_action_2,root_p1_action_3,root_p2_action_1,root_p2_action_2,root_p2_action_3
vanilla,4,4.0,2,20300716,-0.2231578339461203,0.08917124657249195,0.31232908051861225,0.998779296875,0.0006103515625,0.0006103515625,0.9991087107652498,4.964835258285056e-5,0.0008416408821674538
vanilla,4,16.0,2,20300716,-0.1636296880321874,-0.05233587710026596,0.11129381093192142,0.998046875,0.0009765625,0.0009765625,0.9985739372243996,7.94373641325609e-5,0.0013466254114679263
vanilla,4,64.0,2,20300716,-0.14691651129916045,-0.10844394712743952,0.03847256417172093,0.9977022058823529,0.0011488970588235295,0.0011488970588235295,0.998322279087529,9.345572250889518e-5,0.0015842651899622663
vanilla,4,256.0,2,20300716,-0.1448549058552384,-0.12265749091901644,0.022197414936221946,0.9975961538461539,0.001201923076923077,0.001201923076923077,0.9982448458146457,9.776906354776726e-5,0.0016573851218066784
vanilla,4,1024.0,2,20300716,-0.14438842784297243,-0.12590417375722834,0.018484254085744084,0.997568093385214,0.0012159533073929961,0.0012159533073929961,0.9982243576334937,9.891033666311085e-5,0.0016767320298433322
vanilla,4,4096.0,2,20300716,-0.14428201848523944,-0.1266576078513785,0.017624410633860943,0.9975609756097561,0.0012195121951219512,0.0012195121951219512,0.9982191606314452,9.91998303313931e-5,0.0016816395382233612
vanilla,4,0.0,3,20300717,-0.3193819414075718,0.13182035383597887,0.4512022952435507,0.43330104491252747,0.16666666666666669,0.4000322884208059,0.35,0.25,0.4
vanilla,4,1.0,3,20300717,-0.35561997374361765,0.13529783326496872,0.49091780700858634,0.99951171875,0.000244140625,0.000244140625,0.9996434843060997,1.985934103314022e-5,0.0003366563528669814
vanilla,4,4.0,3,20300717,-0.2652398115277384,0.012060248042356574,0.27730005957009496,0.998779296875,0.0006103515625,0.0006103515625,0.9991087107652498,4.964835258285056e-5,0.0008416408821674538
vanilla,4,16.0,3,20300717,-0.16682161124138165,-0.07713509948636012,0.08968651175502153,0.998046875,0.0009765625,0.0009765625,0.9985739372243996,7.94373641325609e-5,0.0013466254114679263
vanilla,4,64.0,3,20300717,-0.14224957525590431,-0.11553724289580394,0.02671233236010037,0.9977022058823529,0.0011488970588235295,0.0011488970588235295,0.998322279087529,9.345572250889518e-5,0.0015842651899622663
vanilla,4,256.0,3,20300717,-0.14425510711854783,-0.12398819789117684,0.020266909227370997,0.9975961538461539,0.001201923076923077,0.001201923076923077,0.9982448458146457,9.776906354776726e-5,0.0016573851218066784
vanilla,4,1024.0,3,20300717,-0.14436648455957135,-0.1260865129534023,0.018279971606169038,0.997568093385214,0.0012159533073929961,0.0012159533073929961,0.9982243576334937,9.891033666311085e-5,0.0016767320298433322
vanilla,4,4096.0,3,20300717,-0.14427296504271486,-0.1266792338179908,0.017593731224724074,0.9975609756097561,0.0012195121951219512,0.0012195121951219512,0.9982191606314452,9.91998303313931e-5,0.0016816395382233612
vanilla,4,0.0,4,20300718,-0.4214098389996862,0.26886794659212027,0.6902777855918065,0.6666666666666667,0.16666666666666669,0.16666666666666669,0.6666666666666667,0.16666666666666669,0.16666666666666669
vanilla,4,1.0,4,20300718,-0.28529607828493947,0.15944967381479852,0.444745752099738,0.99951171875,0.000244140625,0.000244140625,0.9996434843060997,1.985934103314022e-5,0.0003366563528669814
vanilla,4,4.0,4,20300718,-0.22134822587667383,0.056062473419773204,0.277410699296447,0.998779296875,0.0006103515625,0.0006103515625,0.9991087107652498,4.964835258285056e-5,0.0008416408821674538
vanilla,4,16.0,4,20300718,-0.16543520006581325,-0.07464129324113782,0.09079390682467543,0.998046875,0.0009765625,0.0009765625,0.9985739372243996,7.94373641325609e-5,0.0013466254114679263
vanilla,4,64.0,4,20300718,-0.14726428419399984,-0.11192288046450456,0.03534140372949528,0.9977022058823529,0.0011488970588235295,0.0011488970588235295,0.998322279087529,9.345572250889518e-5,0.0015842651899622663
vanilla,4,256.0,4,20300718,-0.14437200091018645,-0.12316381761664791,0.021208183293538546,0.9975961538461539,0.001201923076923077,0.001201923076923077,0.9982448458146457,9.776906354776726e-5,0.0016573851218066784
vanilla,4,1024.0,4,20300718,-0.14442791214950318,-0.12596154853602484,0.018466363613478337,0.997568093385214,0.0012159533073929961,0.0012159533073929961,0.9982243576334937,9.891033666311085e-5,0.0016767320298433322
vanilla,4,4096.0,4,20300718,-0.14428709208881482,-0.12666481614208971,0.017622275946725108,0.9975609756097561,0.0012195121951219512,0.0012195121951219512,0.9982191606314452,9.91998303313931e-5,0.0016816395382233612
vanilla,4,0.0,5,20300719,-0.43179322916164325,0.20430049255355973,0.636093721715203,0.35913031494168957,0.252935992501265,0.3879336925570454,0.6666666666666667,0.16666666666666669,0.16666666666666669
vanilla,4,1.0,5,20300719,-0.3624197152483643,0.20056582876241807,0.5629855440107824,0.99951171875,0.000244140625,0.000244140625,0.9996434843060997,1.985934103314022e-5,0.0003366563528669814
vanilla,4,4.0,5,20300719,-0.26566540980105013,0.07584752606341219,0.3415129358644623,0.998779296875,0.0006103515625,0.0006103515625,0.9991087107652498,4.964835258285056e-5,0.0008416408821674538
vanilla,4,16.0,5,20300719,-0.16446986728488455,-0.05852547328139679,0.10594439400348776,0.998046875,0.0009765625,0.0009765625,0.9985739372243996,7.94373641325609e-5,0.0013466254114679263
vanilla,4,64.0,5,20300719,-0.14437815778879848,-0.10967204631579258,0.034706111473005896,0.9977022058823529,0.0011488970588235295,0.0011488970588235295,0.998322279087529,9.345572250889518e-5,0.0015842651899622663
vanilla,4,256.0,5,20300719,-0.14434911176250345,-0.12283710762545237,0.02151200413705108,0.9975961538461539,0.001201923076923077,0.001201923076923077,0.9982448458146457,9.776906354776726e-5,0.0016573851218066784
vanilla,4,1024.0,5,20300719,-0.1443906585154125,-0.12593872462514494,0.018451933890267558,0.997568093385214,0.0012159533073929961,0.0012159533073929961,0.9982243576334937,9.891033666311085e-5,0.0016767320298433322
vanilla,4,4096.0,5,20300719,-0.14428213005626095,-0.12666191207372057,0.017620217982540376,0.9975609756097561,0.0012195121951219512,0.0012195121951219512,0.9982191606314452,9.91998303313931e-5,0.0016816395382233612
vanilla,4,0.0,6,20300720,-0.4092726862403751,0.12310236417510467,0.5323750504154798,0.32247047261035067,0.08333333333333333,0.5941961940563161,0.26599967010108716,0.08333333333333333,0.6506669965655795
vanilla,4,1.0,6,20300720,-0.2832933527952801,0.10545682583496005,0.3887501786302402,0.99951171875,0.000244140625,0.000244140625,0.9996434843060997,1.985934103314022e-5,0.0003366563528669814
vanilla,4,4.0,6,20300720,-0.22239347407629353,-0.007765770625667183,0.21462770345062634,0.998779296875,0.0006103515625,0.0006103515625,0.9991087107652498,4.964835258285056e-5,0.0008416408821674538
vanilla,4,16.0,6,20300720,-0.16397777536399852,-0.08656667960729461,0.07741109575670391,0.998046875,0.0009765625,0.0009765625,0.9985739372243996,7.94373641325609e-5,0.0013466254114679263
vanilla,4,64.0,6,20300720,-0.1474664805726852,-0.11555907492355472,0.03190740564913047,0.9977022058823529,0.0011488970588235295,0.0011488970588235295,0.998322279087529,9.345572250889518e-5,0.0015842651899622663
vanilla,4,256.0,6,20300720,-0.14451033573558764,-0.1237069549626619,0.020803380772925734,0.9975961538461539,0.001201923076923077,0.001201923076923077,0.9982448458146457,9.776906354776726e-5,0.0016573851218066784
vanilla,4,1024.0,6,20300720,-0.1445189064509234,-0.12602703462877318,0.01849187182215023,0.997568093385214,0.0012159533073929961,0.0012159533073929961,0.9982243576334937,9.891033666311085e-5,0.0016767320298433322
vanilla,4,4096.0,6,20300720,-0.14429297178839226,-0.12667284052587394,0.017620131262518324,0.9975609756097561,0.0012195121951219512,0.0012195121951219512,0.9982191606314452,9.91998303313931e-5,0.0016816395382233612
vanilla,4,0.0,7,20300721,-0.35923746716617655,0.11907903863622589,0.4783165058024024,0.2714088900953608,0.08333333333333333,0.6452577765713059,0.2645096461075227,0.11793452071621473,0.6175558331762625
vanilla,4,1.0,7,20300721,-0.4263819867199794,0.07236300346305724,0.49874499018303664,0.99951171875,0.000244140625,0.000244140625,0.9996434843060997,1.985934103314022e-5,0.0003366563528669814
vanilla,4,4.0,7,20300721,-0.2655796583717814,0.01206356192562318,0.27764322029740457,0.998779296875,0.0006103515625,0.0006103515625,0.9991087107652498,4.964835258285056e-5,0.0008416408821674538
vanilla,4,16.0,7,20300721,-0.16674628389724794,-0.07713509948636012,0.08961118441088782,0.998046875,0.0009765625,0.0009765625,0.9985739372243996,7.94373641325609e-5,0.0013466254114679263
