iter,s0_value,value_mean,value_std,value_min,value_max,value_rms_from_anchor,value_rms_from_final,regret_positive_l2,regret_rms_from_anchor,regret_rms_from_final,strategy_entropy,strategy_kl_from_anchor,strategy_kl_from_final,strategy_argmax_anchor,param_rel_from_anchor,shared_rel_from_anchor,critic_rel_from_anchor,regret_head_rel_from_anchor,strategy_head_rel_from_anchor
0,-0.14289490878582,0.008067878063229728,0.3230571739237153,-0.7583936452865601,0.7951448559761047,0.4976652250677549,0.5153811671935672,0.3431989294078398,13.4589253828142,14.55999241666915,1.0517978722504129,1.2724257063815172,1.3118431854649613,0.384033203125,0.8985631756937306,0.8458416072095855,0.5681787006679357,0.9363415982886585,0.805077565669929
100,-0.22115586698055267,0.19908761465626412,0.23995723349050438,-1.0799143314361572,0.8269433975219727,0.504640912116676,0.48221917019539545,9.329679182695543,12.894875408911664,13.983017399459758,0.5857422795125933,0.9473090941533469,0.993375030163578,0.49560546875,0.7483591980940313,0.7282515282118392,0.520596065415378,0.7661055323366867,0.7137725827842151
250,-0.294606477022171,0.010584556884168705,0.3594109921026285,-1.2396847009658813,0.807784914970398,0.39412108426534337,0.3826910559808454,8.98077717884387,12.053526143524405,13.241680218041012,0.698864471394977,0.694592601941769,0.7290743111412643,0.55908203125,0.6179301460789924,0.5502408936576302,0.40258120607648595,0.6451936234751582,0.5834303308106062
500,-0.5742236375808716,0.07815170493086043,0.3684307780115141,-1.2438137531280518,1.3038941621780396,0.32498783998415154,0.30750221735365957,11.670767153917016,7.830489535836616,9.298554798405071,0.5969445709026308,0.2962232873365983,0.39469932926646534,0.64599609375,0.3123863094029492,0.2765207092605383,0.2173125407356128,0.3219636278930485,0.318318110118255
700,-0.6089293956756592,0.019584249279773758,0.4018515517928404,-1.4713174104690552,0.9936138987541199,0.1919003769100099,0.2614434035696411,12.237751861663039,4.590677480771085,7.261953769188029,0.5859838888765285,0.09791359638707026,0.2587576499324579,0.7822265625,0.13228774292146253,0.12128878835811432,0.09986542610034384,0.13172301535532038,0.15209995889984174
780,-0.5745661854743958,-0.03795413084571919,0.4066902851549361,-1.408739686012268,1.1190129518508911,0.08050462860862927,0.223765606614964,12.634514729906723,1.4936910326240698,6.128940938764769,0.586499858575049,0.008144946493578758,0.1482363097956902,0.9248046875,0.041741038764044364,0.03482517247156235,0.03350719164977402,0.0415923365074906,0.05079237570032623
820,-0.6376678943634033,-0.05522801816789524,0.38753899303740585,-1.3739795684814453,1.02998948097229,0.0,0.21703729263773253,12.886305362686574,0.0,5.540552367977077,0.5830788596522063,0.0,0.12472275966435654,1.0,0.0,0.0,0.0,0.0,0.0
870,-0.6079999804496765,0.04462080082726061,0.4132409788926318,-1.185591459274292,1.2041125297546387,0.12076733960014972,0.19703495952106043,13.193678099788237,1.5889637218451802,4.778624822032567,0.5724572509898777,0.010139731760612745,0.09359743521380473,0.927734375,0.04461271372763308,0.03588798176906499,0.03878576418505498,0.0441660293250319,0.056222455762733305
950,-0.5622947216033936,0.036207007623261234,0.3979149967445347,-1.1711505651474,1.243009328842163,0.1458834800472316,0.15774520279838397,13.702397341239358,3.2945466813817625,3.975856190433883,0.5684713194800133,0.045429363244842404,0.05733022239970055,0.87939453125,0.10320832832859922,0.07837485143695543,0.08924732821965607,0.10246371296947782,0.13250447050980135
1050,-0.5946961045265198,0.06314573127019685,0.4008888014590922,-1.1470699310302734,1.22243332862854,0.22058636300709702,0.1429409721121787,13.404933236220813,4.519333644166066,3.218770966991105,0.5671497128945391,0.11162444365697766,0.045346756128209736,0.814208984375,0.1682285018767817,0.12735015666108498,0.1524667589347377,0.17009043819846872,0.2023981827890512
1130,-0.6223514676094055,0.07851537657552399,0.3960006781532841,-1.198204755783081,1.2187857627868652,0.23890142111040952,0.12222296210611286,13.409691013121837,4.843300884550066,2.6914504968120605,0.5842534105959876,0.12374811833959695,0.036132366162049845,0.785400390625,0.1990792050842191,0.1472717073294625,0.17869137463201507,0.203349300422833,0.2331906088159776
1221,-0.6469693779945374,0.013796535791698261,0.3911220317635914,-1.2660925388336182,1.0998830795288086,0.21703729263773253,0.0,13.789426831961755,5.540552367977077,0.0,0.572887352182286,0.11945127849432106,0.0,0.79296875,0.22820204885616976,0.16781492788274682,0.20457866734369082,0.2342411711266181,0.2628504154453838
