leaf_error,transfer_error,trial,baseline_gap,transfer_gap,improvement,achieved_leaf_error,achieved_regret_error,achieved_strategy_error
0.0,0.0,1,0.24911770471663175,0.09009220973390486,0.1590254949827269,0.0,0.0,0.0
0.0,0.025,1,0.24911770471663175,0.12391072284590954,0.1252069818707222,0.0,0.02499934965363475,0.02499990373585348
0.0,0.05,1,0.24911770471663175,0.17662019772658222,0.07249750699004953,0.0,0.0499986993072695,0.04999980747170696
0.0,0.1,1,0.24911770471663175,0.25147560086567977,-0.002357896149048022,0.0,0.099997398614539,0.09999961494341397
0.0,0.2,1,0.24911770471663175,0.4006795861205874,-0.15156188140395566,0.0,0.199994797229078,0.19999922988682795
0.0,0.4,1,0.24911770471663175,0.7244059684392493,-0.47528826372261757,0.0,0.39992523775897626,0.39997272611063583
0.0,0.0,2,0.21694644057200063,0.07806184187259013,0.1388845986994105,0.0,0.0,0.0
0.0,0.025,2,0.21694644057200063,0.057406952387708876,0.15953948818429176,0.0,0.024997948270001694,0.024996100460373094
0.0,0.05,2,0.21694644057200063,0.07815535321328848,0.13879108735871215,0.0,0.04999589654000339,0.049992200920746244
0.0,0.1,2,0.21694644057200063,0.19298072847659054,0.023965712095410097,0.0,0.09999179308000677,0.09998440184149249
0.0,0.2,2,0.21694644057200063,0.29053269970351214,-0.07358625913151151,0.0,0.19998358616001355,0.19996880368298497
0.0,0.4,2,0.21694644057200063,0.30025725585017926,-0.08331081527817863,0.0,0.3999671723200271,0.39968919233532174
0.0,0.0,3,0.3026407600634753,0.13505549409273365,0.16758526597074164,0.0,0.0,0.0
0.0,0.025,3,0.3026407600634753,0.14230016831903347,0.16034059174444182,0.0,0.024997922399314355,0.024997851502505997
0.0,0.05,3,0.3026407600634753,0.1955371055565578,0.1071036545069175,0.0,0.04999584479862871,0.04999570300501199
0.0,0.1,3,0.3026407600634753,0.20621040853357253,0.09643035152990276,0.0,0.09999168959725742,0.09999140601002404
0.0,0.2,3,0.3026407600634753,0.5193225425500423,-0.216681782486567,0.0,0.19998337919451484,0.19998281202004808
0.0,0.4,3,0.3026407600634753,0.7744418479402435,-0.4718010878767682,0.0,0.39998920750976147,0.39996562404009617
0.0,0.0,4,0.1693842131511819,0.1311597393376932,0.0382244738134887,0.0,0.0,0.0
0.0,0.025,4,0.1693842131511819,0.1581567745454343,0.011227438605747597,0.0,0.02499722640286539,0.02499219052342677
0.0,0.05,4,0.1693842131511819,0.21546655811444948,-0.046082344963267574,0.0,0.04999445280573078,0.04998438104685354
0.0,0.1,4,0.1693842131511819,0.3220532689388612,-0.1526690557876793,0.0,0.09998890561146156,0.09996876209370709
0.0,0.2,4,0.1693842131511819,0.37536075039374983,-0.20597653724256793,0.0,0.19997781122292313,0.19992201379929847
0.0,0.4,4,0.1693842131511819,0.4944312781176016,-0.3250470649664197,0.0,0.39995562244584626,0.3999905320287599
0.0,0.0,5,0.14026117307839014,0.20679679551858265,-0.06653562244019251,0.0,0.0,0.0
0.0,0.025,5,0.14026117307839014,0.19296722083052975,-0.052706047752139606,0.0,0.024999836874880266,0.02499479625880746
0.0,0.05,5,0.14026117307839014,0.20509165513699834,-0.0648304820586082,0.0,0.049994440294378543,0.04998959251761492
0.0,0.1,5,0.14026117307839014,0.27265006522535007,-0.13238889214695992,0.0,0.09999934749952107,0.09997918503522985
0.0,0.2,5,0.14026117307839014,0.27515550886652573,-0.1348943357881356,0.0,0.19997776117751417,0.19996927324760874
0.0,0.4,5,0.14026117307839014,0.589922501583807,-0.44966132850541685,0.0,0.39997847488872385,0.3997497725809722
0.0,0.0,6,0.1690083075347496,0.12836562948617092,0.040642678048578684,0.0,0.0,0.0
0.0,0.025,6,0.1690083075347496,0.15088054749221746,0.018127760042532137,0.0,0.024999372475110818,0.02499872025600719
0.0,0.05,6,0.1690083075347496,0.16965173412980272,-0.0006434265950531204,0.0,0.049998744950221635,0.049997440512014435
0.0,0.1,6,0.1690083075347496,0.20965300538021403,-0.04064469784546443,0.0,0.09999748990044327,0.09999488102402887
0.0,0.2,6,0.1690083075347496,0.3154388577736653,-0.1464305502389157,0.0,0.19999497980088654,0.19998616822636728
0.0,0.4,6,0.1690083075347496,0.6175959630599626,-0.44858765552521296,0.0,0.3999899596017731,0.3999795240961155
0.0,0.0,7,0.3781296965116412,0.16640527249828818,0.211724424013353,0.0,0.0,0.0
0.0,0.025,7,0.3781296965116412,0.1705862207328751,0.20754347577876608,0.0,0.024997586398114138,0.024997127555121124
