rank,stage,attacker_x,attacker_y,attacker_heading,defender_x,defender_y,defender_heading,baseline_gap,transfer_gap,improvement,nonobviousness,root_entropy,score
1,screen,1.806285497972572,2.411204504285737,-0.2705116498710156,4.870234852067901,2.5076120564966677,-2.6982903330828334,0.15051261473868996,0.08153124534205503,0.06898136939663493,0.5,-0.0,0.07048649554402184
2,screen,0.8721391786308725,4.5731878989573636,0.7917394555400525,3.7200499815460795,5.875047948877877,3.1124459791390526,0.1362092084137603,0.0774874594248737,0.0587217489888866,0.5,-0.0,0.060083841073024204
3,screen,8.370526372817476,8.1754553951069,-1.2605706826661731,7.202784971784713,6.121708737752666,0.970299006756818,0.12449858864026779,0.066024692151485,0.05847389648878279,0.0,-0.0,0.030481934130794072
4,screen,0.25,4.498700826868639,-0.21764431038670207,3.1933048255004657,3.8747134496406552,-2.6143069436755404,0.05888535472009912,0.03276034229790557,0.026125012422193554,0.5,-0.0,0.026713865969394544
5,screen,1.3592704120309302,5.308859332192403,-1.0770031087125562,3.8389048012434674,3.548176156035941,2.456231619111408,0.07905636784789313,0.03983189733481698,0.039224470513076176,0.0,-0.0,0.02040279893501702
6,screen,8.074647321323061,8.125651921447655,-1.3501127745529995,7.140716282553648,5.001252373880446,2.3634867197571925,0.030924479166666668,0.012369791666666666,0.0185546875,0.5,-0.0,0.018863932291666666
7,screen,7.523529874497773,3.8831638177300096,-1.9939301955954605,6.469826854140437,4.743358030158514,-2.1330791922571635,0.033697556366023174,0.015606707908236456,0.018090848457786718,0.5,-0.0,0.01842782402144695
8,screen,6.793926002824214,5.90547770845816,2.979727189846579,7.093242561232694,4.1633593205526935,3.1119517291550327,0.06883856278025703,0.03529478607238398,0.03354377670787304,0.0,-0.0,0.01746027398173909
9,screen,7.937557952500812,1.4180901555221683,1.7764139351073354,5.802398912026541,2.9411534142541464,0.5311394452063158,0.06922539262343014,0.03893557970597525,0.03028981291745489,0.0,-0.0,0.015837160384961746
10,screen,8.618771913558396,3.74270751389623,2.996052999513548,6.166849071851746,4.67694687769599,0.9338247912796387,0.03137857239632794,0.0158622997794218,0.015516272616906145,0.5,-0.0,0.015830058340869424
11,screen,5.392603674770195,8.163320698017026,-3.1203894011392794,3.987723986107527,6.152101296297926,0.8301971392594378,0.06533758555413054,0.03853649296734594,0.02680109258678459,0.0,-0.0,0.014053922148933602
12,screen,3.862113138445766,0.25,0.5224648266929655,4.191063398267136,2.249370947482637,-1.6672854752888815,0.025246670782642797,0.013353844579980179,0.011892826202662618,0.5,-0.0,0.012145292910489046
13,screen,3.344069193263631,3.817567522418268,0.8873199063013946,4.4981442371677245,3.0799142363888428,2.582699574918075,0.051518971157072324,0.028538784093188982,0.022980187063883342,0.0,-0.0,0.012005283243512395
14,screen,3.7779299997299303,6.799486085032912,-0.9733317556905026,4.052072339271539,5.156541325141487,-3.002980181787903,0.04461384800185157,0.021926457331748958,0.022687390670102614,0.0,-0.0,0.011789833815069822
15,screen,1.3744989859808845,2.274407308513055,1.6103133754893388,1.6299084551430498,4.0950218723924126,-2.3208585106570934,0.037109375,0.0159505208333333,0.0211588541666667,0.0,-0.0,0.01095052083333335
16,screen,7.375966174260719,1.0739629604431342,-2.9383290474056016,5.21734750867624,1.4986178640643844,-0.910563402388306,0.029947916666666657,0.011718749999999958,0.0182291666666667,0.0,-0.0,0.009414062500000016
17,screen,6.215973887378128,2.046744059674071,2.3365000422068807,6.7862132619120645,4.469885614075984,-1.5213501722867688,0.02737672624175498,0.018642308090390254,0.008734418151364729,0.5,-0.0,0.00900818541378228
18,screen,3.3821981410827058,2.8384804461074635,1.4014477090535573,3.2123424143687886,4.72403937708323,-0.4304185569118437,0.030469069843836738,0.01344592444005864,0.017023145403778098,0.0,-0.0,0.008816263400327417
19,screen,8.007839545284213,7.656762269991599,-1.247498131859716,7.923112170051634,6.15389145648039,2.1285870244395735,0.027343749999999986,0.0179036458333333,0.009440104166666685,0.0,-0.0,0.004993489583333343
20,screen,9.51278514649183,6.766147470732325,-2.910241958954195,7.9944215853442175,5.576734134207608,0.2725947169675065,0.029947916666666657,0.020762839048971818,0.00918507761769484,0.0,-0.0,0.004892017975514086
21,screen,2.923699469329549,7.387888139050764,-1.8489935259174106,4.784745910986541,6.519312509396703,-2.695396568789522,0.03738374752093611,0.028657879783370237,0.008725867737565871,0.0,-0.0,0.004736771343992296
22,screen,3.626135629493618,9.43140443926043,-0.8652491277335961,4.649314027506874,8.239892935233415,-2.5299796790069182,0.025781250000000002,0.01762034081370019,0.008160909186299812,0.0,-0.0,0.004338267093149906
23,screen,8.705556791193606,3.586884317743807,2.5243612915203304,7.175666980334313,4.5330974223782405,0.8509046547523083,0.025781250000000002,0.01762034081370019,0.008160909186299812,0.0,-0.0,0.004338267093149906
24,screen,5.635080982750918,0.25,2.8931305623553243,6.613875693767088,2.14139880904646,-1.8168145840488061,0.015862970198365387,0.00766915691204538,0.008193813286320007,0.0,-0.0,0.0042555363451436574
25,screen,8.239692319985355,1.872425957567589,1.4290686288361893,5.54053486392727,2.52845600175731,0.02521919248511617,0.01872128620036737,0.012443277328747223,0.006278008871620146,0.0,-0.0,0.0033262172978137466
26,screen,2.2741680352318943,3.563137950333383,1.9346966918213395,3.6033475680937634,2.5565803691577114,2.5647955544278114,0.007529964865965876,0.00347394306992511,0.004056021796040765,0.0,-0.0,0.0021033105466800412
27,screen,5.57390080675492,9.22364634300783,-1.7702226376606447,7.164171758507812,6.879241073900551,0.9999824264109929,0.003005472819010417,0.002296786838107639,0.000708685980902778,0.0,-0.0,0.0003843977186414932
