leaf_error,transfer_error,trials,baseline_gap_mean,baseline_gap_sem,transfer_gap_mean,transfer_gap_sem,improvement_mean,improvement_sem,achieved_leaf_error,achieved_regret_error,achieved_strategy_error
0.0,0.0,32,0.25114785703374026,0.015917872323315197,0.1503556221501495,0.011290801192194682,0.10079223488359072,0.01755081621810798,0.0,0.0,0.0
0.0,0.025,32,0.25114785703374026,0.015917872323315197,0.15962261981045475,0.010816792102480504,0.09152523722328545,0.01667284686502931,0.0,0.024999836874880266,0.02499990373585348
0.0,0.05,32,0.25114785703374026,0.015917872323315197,0.1853720017805176,0.011493408268592662,0.06577585525322265,0.016527358063569957,0.0,0.04999936505471969,0.04999980747170696
0.0,0.1,32,0.25114785703374026,0.015917872323315197,0.23783336037545716,0.013546988516703374,0.013314496658283038,0.019557066425668405,0.0,0.09999934749952107,0.09999965067773009
0.0,0.2,32,0.25114785703374026,0.015917872323315197,0.32816321928346676,0.016144941653934507,-0.07701536224972653,0.022153172848477627,0.0,0.19999742667317008,0.19999922988682795
0.0,0.4,32,0.25114785703374026,0.015917872323315197,0.49946266189895866,0.022327637445680514,-0.24831480486521842,0.02739890033538886,0.0,0.39999812038681526,0.39999983618689716
0.2,0.0,32,0.25114785703374026,0.015917872323315197,0.15805770541863026,0.010161887123509229,0.09309015161510997,0.01768158310127766,0.19999892289726973,0.0,0.0
0.2,0.025,32,0.25114785703374026,0.015917872323315197,0.1684561533815692,0.010267471809224478,0.082691703652171,0.018285902166162264,0.19999892289726973,0.024999970818224984,0.024999912669432522
0.2,0.05,32,0.25114785703374026,0.015917872323315197,0.17648374684373758,0.012093697327675413,0.07466411019000266,0.0183419802068141,0.19999892289726973,0.04999924604980566,0.04999980747170696
0.2,0.1,32,0.25114785703374026,0.015917872323315197,0.23392477219869584,0.01331791468288519,0.01722308483504438,0.020606166667227938,0.19999892289726973,0.09999900050070326,0.09999961494341397
0.2,0.2,32,0.25114785703374026,0.015917872323315197,0.3324177600582221,0.015412502068308723,-0.0812699030244819,0.020960167145932487,0.19999892289726973,0.1999997841712139,0.19999906019340763
0.2,0.4,32,0.25114785703374026,0.015917872323315197,0.5138131865885236,0.021177269108834964,-0.26266532955478333,0.027085375744566643,0.19999892289726973,0.39999953309159975,0.39999983618689716
0.4,0.0,32,0.25114785703374026,0.015917872323315197,0.14615780602938874,0.0069038816867934925,0.10499005100435149,0.01662234316731868,0.39999784579453945,0.0,0.0
0.4,0.025,32,0.25114785703374026,0.015917872323315197,0.15354160464155106,0.007297035395330214,0.09760625239218917,0.016418839179460937,0.39999784579453945,0.024999970818224984,0.024999882524175954
0.4,0.05,32,0.25114785703374026,0.015917872323315197,0.16827403003674316,0.007499865300023156,0.08287382699699705,0.016770027538272603,0.39999784579453945,0.04999976504835191,0.04999980747170696
0.4,0.1,32,0.25114785703374026,0.015917872323315197,0.20873250763592172,0.008506806502544647,0.04241534939781855,0.018745082598462047,0.39999784579453945,0.09999953009670381,0.09999961494341397
