regret_scale,regret_player,value_player,runs,player1_reward,player1_stderr,player2_reward,player2_stderr,regret_only_reward,regret_only_stderr,value_only_reward,value_only_stderr,mean_steps,attacker_goal_rate,tagged_rate,timeout_rate,queries,max_depth,max_steps,search_epsilon,action_epsilon,regret_prior_weight,strategy_prior_weight,statistic_prior_weight,prior_reach_power,backup,elapsed_seconds
5.0,1,2,1000,-0.34313136690959156,0.016181153825559423,0.34313136690959156,0.016181153825559423,-0.34313136690959156,0.016181153825559423,0.34313136690959156,0.016181153825559423,11.971,0.226,0.773,0.001,100,5,50,0.1,0.0,1.0,0.0,0.0,1.0,mean,26.006896
5.0,2,1,1000,-0.40637844042111426,0.014927026503585626,0.40637844042111426,0.014927026503585626,0.40637844042111426,0.014927026503585626,-0.40637844042111426,0.014927026503585626,11.704,0.174,0.821,0.005,100,5,50,0.1,0.0,1.0,0.0,0.0,1.0,mean,24.404087667
50.0,1,2,1000,-0.3574428284123531,0.01589608725390571,0.3574428284123531,0.01589608725390571,-0.3574428284123531,0.01589608725390571,0.3574428284123531,0.01589608725390571,11.856,0.221,0.778,0.001,100,5,50,0.1,0.0,1.0,0.0,0.0,1.0,mean,24.332318458
50.0,2,1,1000,-0.46069104380207293,0.013758030238587593,0.46069104380207293,0.013758030238587593,0.46069104380207293,0.013758030238587593,-0.46069104380207293,0.013758030238587593,11.316,0.136,0.858,0.006,100,5,50,0.1,0.0,1.0,0.0,0.0,1.0,mean,23.382763167
