regret_scale,regret_player,value_player,runs,player1_reward,player1_stderr,player2_reward,player2_stderr,regret_only_reward,regret_only_stderr,value_only_reward,value_only_stderr,mean_steps,attacker_goal_rate,tagged_rate,timeout_rate,queries,max_depth,max_steps,search_epsilon,action_epsilon,regret_prior_weight,strategy_prior_weight,statistic_prior_weight,prior_reach_power,backup,elapsed_seconds
2.5,1,2,1000,-0.2742145165774389,0.01768379974826829,0.2742145165774389,0.01768379974826829,-0.2742145165774389,0.01768379974826829,0.2742145165774389,0.01768379974826829,11.747,0.291,0.707,0.002,50,5,50,0.1,0.0,1.0,0.0,0.0,1.0,mean,15.166114584
2.5,2,1,1000,-0.4145199799747868,0.015000500508059983,0.4145199799747868,0.015000500508059983,0.4145199799747868,0.015000500508059983,-0.4145199799747868,0.015000500508059983,11.601,0.175,0.819,0.006,50,5,50,0.1,0.0,1.0,0.0,0.0,1.0,mean,13.071686625
