target,br_player,model_iter,checkpoint,cleanrl_rev,ppo_name,total_timesteps,num_envs,num_steps,max_steps,tree_queries,max_depth,transfer_weight,transfer_tau,br_reward,br_stderr_reward,p1_reward,p2_reward,attacker_goal_rate,tagged_rate,timeout_rate,mean_steps,model_path
oos_zero,1,1221,/Users/tyler/code/MatrixAlphaZero/experiments/dubin/dubin-2026-06-21/models_smoos/oracle1221.jld2,fd574765ecd9d34eb48fb475403a2add26fe61c6,br_p1__vs_oos_zero_p2,500000,4,128,50,1000,5,0.1,0.0,-0.3726883009657583,0.04631523265312505,-0.3726883009657583,0.3726883009657583,0.22,0.77,0.01,13.28,/Users/tyler/code/MatrixAlphaZero/experiments/dubin/dubin-2026-06-21/ppo_best_response_results/oos_zero/p1/ppo_br_actor_critic.jld2
oos_zero,2,1221,/Users/tyler/code/MatrixAlphaZero/experiments/dubin/dubin-2026-06-21/models_smoos/oracle1221.jld2,fd574765ecd9d34eb48fb475403a2add26fe61c6,br_p2__vs_oos_zero_p1,500000,4,128,50,1000,5,0.1,0.0,0.3641023000709221,0.04736517386076569,-0.3641023000709221,0.3641023000709221,0.22,0.73,0.05,14.29,/Users/tyler/code/MatrixAlphaZero/experiments/dubin/dubin-2026-06-21/ppo_best_response_results/oos_zero/p2/ppo_br_actor_critic.jld2
