action_1,action_2,action_3
0.1685670467426926,0.19034470852977098,0.6410882447275364
0.1341201573648133,0.13413180938447294,0.7317480332507137
0.168520370740828,0.17837764192968072,0.6531019873294913
0.14546242581850244,0.14546242581850244,0.709075148362995
0.11806361272255739,0.14564836347070256,0.73628802380674
0.16035207041409158,0.16347517076619306,0.6761727588197153
0.14457558178302884,0.14457558178302884,0.7108488364339424
0.13897446155899323,0.1472495363468267,0.7137760020941799
0.13855437754219183,0.147116139320587,0.7143294831372212
0.15937187437488953,0.18614977286721657,0.654478352757894
0.17519503900781452,0.1809823645755399,0.6438225964166456
0.15727145429086214,0.15727145429086214,0.6854570914182756
0.1276788691071692,0.1331897196305631,0.7391314112622677
0.16016536640662846,0.20892087033688092,0.6309137632564906
0.12137760885511507,0.7436017515426895,0.13502063960219546
0.1622657864906454,0.645433354257003,0.19230085925235155
0.1650196706008003,0.18865398640544984,0.6463263429937498
0.1533506701340415,0.3056456003479665,0.5410037295179921
0.1453223978129058,0.14744709807410947,0.7072305041129847
0.17962925918518102,0.18075748092887486,0.6396132598859441
0.13818096952725603,0.6808501860167968,0.18096884445594716
0.15461092218445002,0.15956800412334693,0.6858210736922031
0.16347936253917783,0.16347936253917783,0.6730412749216445
0.15358405014337717,0.5218816597594457,0.3245342900971772
0.18681736347270642,0.20391676481568757,0.6092658717116061
0.15801827032074398,0.18077364795556924,0.6612080817236868
0.13874108154964962,0.13874108154964962,0.7225178369007007
0.13444688937788207,0.13444688937788207,0.7311062212442359
0.15671134226846864,0.5918043510176136,0.2514843067139177
0.12427152097087461,0.14911076802877818,0.7266177110003471
0.13407348136295547,0.2071369956301923,0.6587895230068522
0.15932519837302164,0.174687962627043,0.6659868389999354
0.15895179035808493,0.22309508971348394,0.617953119928431
0.1386010535440594,0.7036559381255536,0.15774300833038696
0.16105221044209905,0.16949017189191506,0.6694576176659859
0.1641328265653263,0.19090597250947838,0.6449612009251953
0.13384010135361274,0.13512842251575946,0.7310314761306278
0.12861238914450077,0.12861238914450077,0.7427752217109985
0.14420217376809255,0.14420217376809255,0.711595652463815
0.1729079149163264,0.17492680347453837,0.6521652816091352
0.14303527372142136,0.14529245366551521,0.7116722726130634
0.1361272254451065,0.5704631864409743,0.29340958811391926
0.15783156631327713,0.5493489169043723,0.2928195167823506
0.15209041808362986,0.18829636783542641,0.6596132140809438
0.10896179235848016,0.7703873729747212,0.12065083466679866
0.14676935387078338,0.14739579376086448,0.7058348523683522
0.11148229645929346,0.11148229645929346,0.777035407081413
0.13519370540776382,0.7014032865568541,0.16340300803538196
0.1588584383543511,0.18752274867618265,0.6536188129694663
0.13626725345070725,0.20177964160498857,0.661953104944304
0.1562445822497981,0.18956294007706823,0.6541924776731336
0.16315263052611792,0.24036384351900647,0.5964835259548755
0.1366873374675073,0.1472702362031731,0.7160424263293197
0.13640728145630374,0.13882432548133097,0.7247683930623654
0.18017933458508492,0.15227712209109975,0.6675435433238153
0.15783156631327655,0.20717526009736753,0.6349931735893558
0.16291925051678416,0.31261626166806955,0.5244644878151463
0.14294192171769182,0.15245319221377707,0.7046048860685311
0.1302927252117203,0.13631462010926715,0.7333926546790125
0.12165766486631237,0.7558439790347784,0.12249835609890918
0.13519370540776585,0.6661655263123709,0.19864076827986318
0.145602453824114,0.5499591298790618,0.30443841629682417
0.1466760018670546,0.179095034310711,0.6742289638222345
0.15195039007803063,0.2667905059720202,0.5812591039499492
0.13450278550858558,0.13570016885520308,0.7297970456362115
0.1392545175701963,0.15420257041172925,0.7065429120180745
0.1380409415216462,0.1388971372155656,0.7230619212627881
0.13271987730880141,0.13273263453106113,0.7345474881601374
0.13327998933121651,0.5620261486382866,0.3046938620304967
0.15680469427220228,0.16687824967376214,0.6763170560540356
0.16950056678003025,0.17048505000891528,0.6600143832110545
0.14877642195107238,0.6910534005392225,0.16017017750970508
0.14499566579983578,0.14606796233839484,0.7089363718617693
0.12399146495966278,0.12399146495966278,0.7520170700806744
0.1421484296859534,0.170941134439133,0.6869104358749137
0.1464892978595871,0.17940374943440623,0.6741069527060066
0.14196172567847493,0.14196172567847493,0.7160765486430501
0.17370140694806846,0.24247740347194432,0.5838211895799872
0.15070921460726786,0.6202300913634219,0.2290606940293102
0.13047942921918698,0.1317806282639156,0.7377399425168975
0.13519370540776574,0.18267369764923022,0.6821325969430041
0.122731212909263,0.693737372038009,0.18353141505272816
0.1670734146829496,0.19161589224864498,0.6413106930684055
0.15129692605188957,0.6769768199004038,0.17172625404770647
0.15535773821431373,0.15535773821431373,0.6892845235713726
0.1368740414749793,0.6014653362001545,0.26166062232486614
0.17598853103955442,0.1821267604933356,0.6418847084671101
0.1549843301993871,0.2428193143455743,0.6021963554550386
0.1650663466026598,0.16587377428550404,0.6690598791118361
0.1485897179436039,0.20876241286463057,0.6426478691917656
0.14639594585584345,0.1464385412361857,0.7071655129079709
0.1444355537774387,0.5683808675931759,0.28718357862938537
0.13589384543577132,0.15170169217632623,0.7124044623879024
0.1282856571314416,0.13212883933537733,0.7395855035331812
0.1442955257718266,0.1442955257718266,0.7114089484563467
0.14746949389879488,0.1704849344383817,0.6820455716628234
0.13496032539843023,0.6209103834881093,0.24412929111346043
0.17645529105822413,0.2411811548035192,0.5823635541382567
0.17244115489765816,0.3997993203468028,0.42775952475553897
0.13108621724345446,0.13108621724345446,0.7378275655130911
