p1_solver,p2_zero_oracle,p2_value_oracle,p2_full_solver
zero_oracle,0.025102085163863138,-0.5916815528841187,-0.6119469639217929
value_oracle,0.6164644798166602,-0.285145878706725,-0.38898293387493504
full_solver,0.5949845566141607,-0.2846120632226252,-0.39912935238758246
