regret_player,value_player,runs,player1_reward,player1_stderr,player2_reward,player2_stderr,regret_only_reward,regret_only_stderr,value_only_reward,value_only_stderr,mean_steps,detection_rate,target_escaped_rate,observer_lost_rate,queries,max_depth,max_steps,search_epsilon,action_epsilon,regret_prior_scale,regret_prior_weight,strategy_prior_weight,statistic_prior_weight,prior_reach_power,elapsed_seconds
1,2,500,9.986549481474947,0.5696537784194347,-9.986549481474947,0.5696537784194347,9.986549481474947,0.5696537784194347,-9.986549481474947,0.5696537784194347,29.128,0.664,0.366,0.412,100,5,50,0.1,0.0,5.0,1.0,0.0,0.0,1.0,185.1765835
2,1,500,7.37439457055439,0.5259349505569673,-7.37439457055439,0.5259349505569673,-7.37439457055439,0.5259349505569673,7.37439457055439,0.5259349505569673,26.542,0.63,0.312,0.564,100,5,50,0.1,0.0,5.0,1.0,0.0,0.0,1.0,165.706639375
